장비 제작 불가! 자원 부족	Cannot build due to a lack of resources!
전투 장비 코어 부족!	Not enough Battle Gear cores!
AI 코어 부족!	Not enough AI cores!
유전자 씨앗 부족!	Net enough Gene Seeds!
숙소 부족	Not enough room
전투원제작 불가! 자원 부족	Cannot build Unit due to a lack of resources.
{0} 스테이지를 클리어하시면 해금됩니다.	Clear stage {0} to unlock
캐릭터 상세	Unit Details
스킬 경험치	Skill Exp
레벨{0} 활성화	Unlock at Lv{0}
기본	Normal
주의	Caution
코어 링크 해제	Core Link Release
이 코어 링크를 해제하기 위해서는 링크 해제기가 소모됩니다.	To unlink you will consume a Link Breaker.
링크 해제기 부족	You do not have a Link Breaker.
코어 링크	Core Link
경장	Light
중장	Heavy
기동	Flying
보호기	Defender
공격기	Attacker
지원기	Support
다른 전투원이 장착한 코어	Core is mounted by another Unit
코어 링크 불가	No core link
이 코어를 장착한 전투원은 현재 임무 중입니다.	Units with this core are currently on duty.
스쿼드 정원 초과	?Squad garden exceeds?
더 이상 전투원을 배치할 수 없습니다.	You can no longer place Units
(링크 해제기 총 보유 수 {0}개)	(Total {0} Link Breakers)
제작 할 유닛이 없습니다.	There are no Units to build.
다음 레벨 정보	Next Level
[c][FFFFFF7D]피해량[-][/c]	[c][FFFFFF7D]Damage[-][/c]
[c][FFFFFF7D]효과[-][/c]	[c][FFFFFF7D]Effect[-][/c]
쿨 다운	Cooldown
증가	Increase
{0}차 전투	{0]th battle
[상세확인]	[Check Details]
경고	Warning
강화할 전투원 필요	Requires a Unit to enhance
먼저 강화할 전투원을 선택해 주세요.	Please select a Unit first.
회로 제공 전투원 필요	Requires a Circuit donor Unit
주의! 강화 회로 제거!	Warning! Removing Enhanced Circuit!
강화 회로 제거	Enhancement Circuit Removal
강화 회로 제거기 부족	Not enough Circuit Removers
강화 포인트 없음	No Enhancement Points
모든 강화 가능 포인트를 사용해 더 이상 강화용 캐릭터를 선택할 수 없습니다.	?You won't be able to choose a Unit for enhancement with all your Enhancement Points?
강화 포인트 초과	Enhancement Points exceeded
최대 강화 포인트를 초과해 해당 캐릭터를 재료로 사용할 수 없습니다.	The Unit cannot be used as material beyond the maximum Enhancement Points.
전투원 수복	Recovery
쾌속 수복	Quick Fix  
수복할 전투원을 지정하세요.	Please select a Unit to recover.
수복 시설 현황	Recovery Facility Status
터치하여 슬롯 확장	Tap to add slot
즉시 수복	Quick Fix
쾌속 수복 나노 머신 부족!	Insufficient Nano Machines for Quick Fix!
모든 전투원이 건강!	All Units are healthy!
수복이 필요한 전투원이 존재하지 않습니다.	There are no Units needing recovery
수복 슬롯 해제	Release Slot Release
수복 완료!	"Recovery`nComplete!"
쾌속 수복 불가 자원 부족!	Not enough resources for Quick Fix!
자원 부족	Not enough resources
쾌속 완료	Fast Completion
이야기 {0} {1} 시작되었습니다.	Story Mission {0} {1} has started.
이야기 {0} {1} 의 스테이지로 이동하시겠습니까?	Are you sure you want to go to Story Mission {0} {1}?
이야기 {0} {1} 완료되었습니다.	Story Mission {0} {1} complete.
나중에 출발	Go Later
지금 출발	Go Now
이야기 보기	View Story
수집물 확인	Check Collection
이전의 기록	Previous Record
이야기 목록 보기	View Story List
이야기 시작	Start Talking
{0}에게 어떤 이야기를 걸까요?	What will you tell {0}?
준비완료	Ready
응급 수복	Emergency Repair
출격중	Sortie
수복 확인	Confirm Recovery
전투 턴 자동 종료	Autobattle Stopped
탐사중	Exploring
탐사 중인 스쿼드 입니다.	This squad is exploring
스쿼드 내에 수복 중인 캐릭터가 있어 출격할 수 없습니다.	You cannot sortie because a Unit being recovered.
행동 불능 상태인 멤버가 있어 출격할 수 없습니다.	You cannot sortie because a Unit is inoperable.
수복 필요	Recover
행동력	Action Speed
모듈 분해	Recycling
분해 획득 자원	Recovered Resources
모듈 분해 확인	Recycling Check
선택하신 캐릭터들의 전투 모듈을 분해하시겠습니까?	Do you want to recycle the selected Units?
분해 결과	Recycling Result
다음 자원을 획득했습니다.	Obtained the above resources.
주의!	Warning!
등급 / 레벨이 높은 장비입니다. 정말 분해하시겠습니까?	Do you really want to recycle high grade/level gear?
분해 확인	Recycle Check
선택하신 장비들을 정말 분해하시겠습니까?	Do you want to recycle the selected gear?
분해	Recycling
캐릭터	Units
장비	Gear
모듈 분해 할 캐릭터가 없습니다.	You have not selected any Units to recycle.
분해 할 장비 아이템이 없습니다.	You have not selected any Gear to recycle.
수복하러가기	Go to Recovery
수복중	Recovery
{0}명 더 배치 가능합니다. (최대 5명)	Can deploy {0} more. (Up to 5)
나중에 출발	Go Later
지금 출발	Go Now
~~행동을 하세요.	Take action.
선물	Gifts
시설물 편집	Edit Facility
구매	Purchase
이야기 {0}<{1}>가 완료되었습니다.	Complete story {0} <{1}>.
함교	Bridge
기록물 보관소	Archives
창고	Warehouse
이야기 보기	View Story
수집물 확인	Check Collection
이전의 기록	Previous Record
이야기 시작 조건	Story start condition
이야기 진행	Story progress
이야기	Story
완료	Complete
이야기 파일 시작 조건	Story start condition
이야기 목록 보기	View Story List
이야기 시작	Start Talking
전술 정보 수집 중	Tactical Information Display
스킬명 : {0}	Skill Name: {0}
[c][f10916]공격기[-][/c]가 배치되지 않아 화력이 낮습니다.	An [c][f10916]Attacker[-][/c] is not deployed, so damage output may be low.
[c][f10916]보호기[-][/c]가 배치되지 않아 안정성이 낮습니다.	A [c][f10916]Defender[-][/c] is not deployed, so your Units may be vulnerable.
[c][f10916]지원기[-][/c]가 배치되지 않아 보조 성능이 낮습니다.	A [c][f10916]Support[-][/c] is not deployed, so you are lacking in various enhancements.
적합률	Compatibility
주의 - 링크 보너스 : 적합률 {0}%	Warning - Link Bonus {0} compatible
스킬 사용 불가 상태입니다.	Skill unavailable
이동 불가 상태입니다.	Immobilized.
반격	Counterattack
지원 공격	Supporting Attack
적 정보	Enemy Info
정찰 성공	Recon Success
"B급 캐릭터`n모두 선택"	Select all B-Class Units
대신 맞기	?Fit instead?
{0} 리더로 지정하시겠습니까?	Select {0} as the new leader?
리더 지정	Select Leader
다음 자원이 부족해서 출격할 수 없습니다.	There are not enough resources to sortie.
부관 변경	"Switch`nAide"
지원 스쿼드	Support Squad
설정	Set
캐릭터 수집율	Unit Collection Rate
완료 업적 수	Completed Achievements
{0}위	Rank {0}
순위 밖	Not Ranked
프로필	Profile
번호 순 정렬	Sort/number
[c][42ff62]{0}[-][/c] 전투원을 부관으로 임명하시겠습니까?	Appoint a new Unit?
지원 스쿼드 선택	Select Support Squad
설정됨	Set
스쿼드	Squad
친구 수	Friends
레벨 ▲	Level ▲
접속 시간 ▲	Connected ▲
친구 목록	Friends List
친구 추가	Add to Friends
신청 확인	Confirm application
정보	Information
방문	Visit
1:1 채팅	Direct Chat
죄종 접속 {0} 전	Last Connected {0}
{0}일	{0} days
{0}시간	{0} hours
레벨 ▼	Level ▼
삭제	Delete
닉네임	Name
검색 닉네임 입력	Find by Name
검색	Find
친구 신청	Add friend
친구	Friend
해당 유저와 친구 맺기 요청을 하시겠습니까?	Send a friend request to this user?
일괄 수락	Bulk accept
일괄 거부	Bulk reject
거부	Reject
수락	Accept
일	Days
시간 전	Hours ago
분 전	Minutes ago
초 전	Seconds ago
[c][42ff62]{0}[-][/c] 님을 친구 삭제하시겠습니까?	[c][42ff62]{0}[-][/c] Are you sure you want to delete your friend?
[c][42ff62]주의 - 해당 유저와의 1:1 채팅 내용도 삭제됩니다.[-][/c]	[c][42ff62]Warning - Direct chats with this user will also be deleted[-][/c]
친구 삭제	Remove
검색 UID 입력	Find by UID
접속 시간 ▼	Connected ▼
최종접속	Last connection
로그 삭제	Delete log
전송	Send
 님과의 대화 목록	Chat list
상대방이 채팅 방을 나갔습니다.	The person left the chatroom.
채팅 방을 나갔습니다.	I left the chatroom.
"친구 수가 최대여서`n친구 신청을 할 수 없습니다."	"You cannot send an application.`nYour friends list is already at the limit."
검색 대상을 입력하십시오.	Please enter a search target.
"친구 수가 최대여서`n친구 수락을 할 수 없습니다.."	"You cannot accept an application.`Your friends list is already at the limit."
친구가 없습니다.	No friends.
친구스쿼드	Friend's squad
사용 대기 {0}	Waiting for use {0}
상태	Status
스킬	Skill
필살기	Once
없음	"No`nItem"
보유 스킬	Skills Possessed
액티브	Active
패시브	Passive
적용 중인 [c][FFBA29FF]버프	Applying [c][FFBA29FF]Buff
지속	Duration
적용 중인 [c][9F5404FF]디버프	Applying [c][9F5404FF]Debuff
영구	Permanent
없음	"No`nItem"
스킬 효과 없음	No effect
합류 전투원	Unit Roster
바이오로이드	Bioroid
AGS 로봇	AGS Robot
분대 보기	Squad View
도감	Album
캐릭터 상세 정보	Unit Details
공격 빈도	Attack Speed
속도	Speed
보조 능력	Secondary Ability
지구력	Endurance
알려지지 않음	Unknown
분대 완성 보상 받기	Receive squad completion rewards
모든 임무 보이기	Show all missions
일일	Daily
주간	Weekly
월간	Monthly
업적	Achievements
보상	Reward
진행도	Progress
{0}[c][FFBA29FF]{1}[-][/c] 임무 완료 시 개방	Complete mission {0}[c][FFBA29FF]{1}[-][/c]
보상 획득	Reward
임무 완료	Mission complete
다음 보상을 획득했습니다.	Earned the following rewards:
보상 완료	Rewards collected
보상 일괄 획득	Collect rewards
선택하신 분류의 임무가 없습니다.	There are no missions in this category.
출격 모드 선택	Select mode
이벤트	Event
잔여 횟수	Remaining
"진행 중인 이벤트가`n없습니다."	"There are no`nEvents in progress"
일일 훈련	Daily Training
초급	Beginner
중급	Intermediate
상급	Advanced
최상급	Expert
소모 티켓 :	Tickets:
적정 전투력 : {0} 이상	Recommended Combat Power: {0} or more
시작	Begin
훈련 달성율	Training results
훈련 완료 Exp	Training Completion Exp.
획득 보상	Earned Rewards
보통	Normal
호감	Crush
친밀	Intimate
애정	Love
호감도 상승	Affection rise
호감도 하락	Affection fall
이벤트	Event
수복 필요	Recover
이야기 리스트가 없습니다.	There is no story list
연구소	Laboratory
시설 연구	"Facility`nResearch"
로봇 설계	"Robot`nEngineering"
승급	Advancement
연구 항목을 선택하세요.	Select a research topic
연구 실행	Begin research
연구 필요 조건	Research requirements
연구중	Researching
즉시 완료	Fast-Track
연구 취소	Cancel Research
연구 완료 까지	Until research is completed
기술 목록	Technology list
필요 기술	Need skills
제작	Manufacture
기술 연구	"Tech`nresearch"
설계도	Blueprint
잠금 해제 조건	Unlock condition
"[c][FFBA29FF]{0}[-][/c]의 연구 완료에 다음 자원과 시간이 소모됩니다.`n연구를 실행하시겠습니까?"	"[c][FFBA29FF]{0}[-][/c] will require the following resources and time to complete.`nDo you want to begin researching this?"
[c][FFBA29FF]{0}[-][/c]의 연구를 완료했습니다!	[c][FFBA29FF]{0}[-][/c] research has been completed!
연구 완료	Research complete
연구 완료	Research complete
연구 즉시 완료	Research Completed
[c][FFBA29FF]{0}[-][/c]의 연구를 취소합니다.	[c][FFBA29FF]{0}[-][/c]Cancel research
[c][f10916]연구에 소모한 자원은 돌려 받을 수 없습니다.[-][/c]	[c][f10916]Resources spent on research cannot be refunded.[-][/c]
연구	Research
추가 자원 획득 비율	Increased resource generation
소모 자원	Resource Cost
소모 자원 감소	Reduced Resource Cost
연구 완료	Research complete
연구 완료	Research complete
일반	Normal
일반	General
특수	Special
연구소	Laboratory
제작 시 소모 자원	Crafting Resource Cost
모든 등급	All Ranks
모든 타입	All Types
모든 역할	All Roles
모든 등급 ▲	All Ranks ▲
모든 타입 ▲	All Types ▲
모든 역할 ▲	All Roles ▲
상세보기	View details
제작시간:	Crafting time:
획득 방법	Acquisition method
설계 연구 필요	Needs design research
설계도 없음	No blueprint
연구실에서 다음 연구가 완료되지 않아 제작할 수 없습니다.	You have not complete the required research to craft this Robot.
제작 가능한 로봇이 없습니다.	There are no craftable Robots.
"[c][FFBA29FF]연구소[-][/c]에서  [c][FFBA29FF]로봇 제작[-][/c] 시설을 연구해야`n사용할 수 있습니다."	"[c][FFBA29FF]Robot Engineering[-][/c] needs to be studied in the [c][FFBA29FF]Research lab[-][/c]`nBefore it can be used."
"[c][FFBA29FF]연구소[-][/c]에서  [c][FFBA29FF]특수 제작[-][/c] 시설을 연구해야`n사용할 수 있습니다."	"[c][FFBA29FF]Special Builds[-][/c] needs to be studied in the [c][FFBA29FF]Research lab[-][/c]`nBefore it can be used."
로봇 제작 중	Build Robots
특수 제조 중	Special Builds
일반 제조 중	Standard Builds
선물 목록	Gift list
선택	Selection
{0} 아이템을 선물할 캐릭터를 선택해 주세요.	Please select a Unit to receive {0}.
알림	Notice
[c][FFBA29FF]{0}[-][/c]에게 [c][FFBA29FF]{1}[-][/c]아이템을 선물하시겠습니까?	Give [[c][FFBA29FF]{1}[-][/c] to [c][FFBA29FF]{0}[-][/c]?
[c][FFBA29FF]{0}[-][/c]에게 [c][FFBA29FF]{1}[-][/c]아이템을 선물했습니다.	Gave [c][FFBA29FF]{1}[-][/c] to [c][FFBA29FF]{0}[-][/c].
호감도가 맥스입니다.	Already at max affection.
"수복 대상`n일괄 선택"	"Bulk Select`nFor Recovery"
[c][FFBA29FF]{0}[-][/c] 선물 시 개방	Give the [c][FFBA29FF]{0}[-][/c] as a gift.
도착한 우편이 없습니다.	No mail received
일괄 수령	Receive All
확인된 메일 없음	?No mail verified?
우편 내용 없음	?No postal content?
우편 받기	Receive mail
우편 수령	Receive mail
(최대 20개)	(Up to 20)
시스템	System
일반	Normal
일반	General
우편함	Mailbox
추가 선물함	Gift package
추가 메일 요청중~	Requesting mail~
남은 보관 시간 :	Expiration:
일	Days
시간	Time
분	Minute
초	Second
"[c][FFBA29FF]연구소[-][/c]에서  [c][FFBA29FF]{0}[-][/c] 시설을 연구해야`n사용할 수 있습니다."	"We need to research [c][FFBA29FF]{0}[-][/c] in the [c][FFBA29FF]research lab[-][/c]`nBefore it can be used"
"전투원 대기실이 부족해 진행할 수 없습니다.`n여유 공간 확보가 필요합니다."	"Not enough free Lobby space to proceed.`nFree up some slots."
"장비 창고가 부족해 진행할 수 없습니다.`n여유 공간 확보가 필요합니다."	"Not enough free Warehouse space to proceed.`nFree up some slots."
"소모품 창고가 부족해 진행할 수 없습니다.`n여유 공간 확보가 필요합니다."	"Not enough resources to proceed.`nYou need to free up space."
캐릭터 인벤토리가 부족해 제작을 할 수 없습니다.	Not enough Lobby space to complete the build.
장비 인벤토리가 부족해 제작을 할 수 없습니다.	Not enough Warehouse space to complete crafting.
캐릭터 인벤토리가 부족해 구매할 수 없습니다.	Not enough Lobby space to complete purchase.
장비 인벤토리가 부족해 구매할 수 없습니다.	Not enough Warehouse space to complete purchase.
소모품 인벤토리가 부족해 구매할 수 없습니다.	Not enough resource capacity to complete purchase.
소모품 인벤토리가 부족해 뽑기를 실행할 수 없습니다.	Not enough resource capacity to pull.
소모품 인벤토리가 부족해 탐사를 진행할 수 없습니다.	Not enough resource capacity to explore.
캐릭터 인벤토리가 부족해 퀘스트 보상을 수령할 수 없습니다.	Not enough Lobby space to receive quest rewards.
장비 인벤토리가 부족해 퀘스트 보상을 수령할 수 없습니다.	Not enough Warehouse space to receive quest rewards.
소모품 인벤토리가 부족해 퀘스트 보상을 수령할 수 없습니다.	Not enough supply capacity to receive reward.
해제	Remove
변경	Change
이동	Move
전투원 수복에 빈 슬롯이 없습니다.	Not enough Recovery Facility space.
선물주기	Give gift
{0}월	{0}months
보급 획득	Supply
{0}일차 보급이 지급되었습니다.	{0} day supply issued.
{0} 부족해 우편으로 지급되었습니다.	{0} was not paid due to mail.
{0}일차	Day {0}
깜짝 상자	Lottery
번들 상품	Gifts
이벤트 상품	Event Deals
참치캔	Tuna Cans
자원	Resources
티켓	Boosters
재료	Materials
설비	Expansion
이 상품을 구매하시겠습니까?	Do you want to purchase this?
구매하기	Purchase
"참치캔이 부족해 구입할수 없습니다.`n참치캔 구입하자구요~~"	"Not enough Tuna Cans to complete purchase.`nMaybe we should buy some~~"
참치캔 부족	Tuna Cans
보급 목록	Supply List
전투원 목록	Unit list
장비 목록	Gear list
소모품 목록	Resource list
제작 및 강화	"Crafting`nResources"
로봇 부품팩	Robot Parts
다음 사유로 ( [c][f10916]{0}[-][/c] ) 블럭 되었습니다.	Blocked for reason: ( [c][f10916]{0}[-][/c] ).
욕설 / 비방	Abusive Language
비인가 프로그램 사용	Use of an unauthorized program
부정 조작	Tampering
시스템 악용	Exploits
사용 상품 환불	Refund of used goods
남았습니다.	Left.
구입 하였습니다.	Purchased
화면을 터치하여 닫아주세요.	Please close the screen
사령관 숙련도 증가	Commander level increased
사령관 숙련도 Lv.{0} 달성	The Commander achieved Lv.{0}
자원 자동 회복 상한 [c][FFBA29FF]+{0}	Resource Capacity [c][FFBA29FF]+{0}
구글 계정으로 로그인	Log in with your Google account
GUEST 계정으로 로그인	Log in as a GUEST
이미 연동된 계정입니다. 계정 정보를 갱신하기 위해 타이틀 화면으로 돌아갑니다.	The account is already linked. You will return to the title screen to update your account details.
구글 계정 연동 되었습니다.	Google account linked!
"연동 실패 다시 연동해주세요.`n타이틀 화면으로 돌아갑니다."	"Account linking failed.`nReturning to the Title Screen."
파견한 대원들이 복귀했습니다.	Dispatched Units returned.
수복이 완료 되었습니다.	Recovery complete.
[c][ffcc00]{0} {1}구역 전투 시작[-][/c]	[c][ffcc00]{0} Start battle for Zone {1}[-][/c]
{0}라운드 시작	Round {0} start!
[c][e3e3e3]{0},{1}에게 {2} 사용[-][/c]	[c][e3e3e3]{0} used {2} on {1}[-][/c]
[c][e3e3e3]{0}, {1}사용[-][/c] 	[c][e3e3e3]{0} used {1}[-][/c] 
[c][ff4945]{0} {1} 피해를 입음.[-][/c]	[c][ff4945]{0} took damage {1}.[-][/c]
[c][c70400]{0} 치명타로 {1} 피해를 입음[-][/c]	[c][c70400]{0} critically hit {1}[-][/c]
[c][2ac940]{0} 회피 성공[-][/c]	[c][2ac940]{0} evaded the attack[-][/c]
[c][ffdab9]{0} {1} 적용됨[-][/c]	[c][ffdab9]{0} applied {1}[-][/c]
[c][cbbeb5]{0} {1} 제거됨[-][/c]	[c][cbbeb5]{0} removed {1}[-][/c]
[c][bfbfbf]{0} {1} 효과 저항[-][/c]	[c][bfbfbf]{0} resisted {1}[-][/c]
[c][2ac940]{0}, {1} 보호[-][/c]	[c][2ac940]{0} defended {1}[-][/c]
[c][2ac940]{0}의 공격 지원[-][/c]	[c][2ac940]{0} performed a Support Attack[-][/c]
[c][ffa432]{0} {1}에게 반격함[-][/c]	[c][ffa432]{0} Counterattacked {1}[-][/c]
[c][bfbfbf]아군의 {0} 전투 불능이 됨[-][/c]	[c][bfbfbf]Ally {0} has been incapacitated[-][/c]
[c][fbf6cb]적군의 {0} 전투 불능이 됨[-][/c]	[c][fbf6cb]Enemy {0} has been incapacitated[-][/c]
{0} 대기	Waiting for {0}
{0} {1}번 그리드로 이동	Moving to position {0} {1}
[c][c8deff]{0} 설치됨[-][/c]	[c][c8deff]{0} installed[-][/c]
{0}라운드 시작	Round {0} start!
치명율	CRIT
자원 탐색 중인 스쿼드 대원은 편집할 수 없습니다.	You cannot edit squads that are exploring.
전투 불능	Incapacitated
수복 중인 전투원이 있어 자원 탐사를 보낼 수 없습니다.	You cannot send out explorers because a squad member is in recovery.
전투 불가 상태인 전투원이 있어 자원 탐사를 보낼 수 없습니다.	You cannot send out explorers because there is a squad member engaged in combat.
장시간 응답이 없어 타이틀 화면으로 이동합니다	You are being returned to the title screen due to inactivity.
교체되는 캐릭터가 교체 대상 스쿼드에 이미 있는 경우에도 동일한 캐릭터가 있어 교체할 수 없습니다	The Unit you are trying to replace is already in the squad. You cannot have duplicate Units in the squad.
링크중인 바이오로이드 보기	View Bioroid Links
다음 연구가 완료되지 않아 제작할 수 없습니다.	The required research is incomplete, so it cannot be crafted.
일괄 선택	Bulk Select
경장형	Light
중장형	Heavy
기동형	Flying
등급	Rank
타입	Type
역할군	Role
이야기 다시 보기	Replay Story
이야기 시작	Start Talking
자동전투	Autobattle
이전	Previous
다음	Next
전투원	Units
소모품	Materials
{0}라운드 남음	{0} Rounds Left
{0} 라운드 경과	Round {0}
쿠폰 입력	Enter coupon
쿠폰 입력	Redeem coupon
- 각 쿠폰은 계정 당 1회만 사용 가능합니다.	- A coupon may only be used once per account.
- 보상은 우편함으로 지급됩니다.	- Rewards will be sent to your mailbox.
쿠폰 번호를 입력하세요.	Please enter a coupon code.
쿠폰 보상이 메일로 전송되었습니다.	Coupon rewards have been sent to by e-mail.
이미 사용한 쿠폰 코드이거나 유효하지 않은 쿠폰 코드입니다.	This coupon code has already been used or is invalid.
예상 적중률	Est. Hit Rate
분석불가	Cannot analyze
중요 전투원	Critical Unit
중요 전투원 등록	Critical Unit Registration
게임 설정	Settings
전투 속도	Battle Speed
기본	Normal
텍스트 속도	Text Speed
느림	Slow
보통	Normal
빠름	Fast
스토리 다시보기	Story Replay
임무 완료	Mission complete
컷 인 연출	Unit Cut-ins Display
부상 연출	Battle Damage Display
사운드	Audio
배경 음악	BGM
효과음	SFX
음성	Voice
끄기	Off
켜기	On
알림 설정	Notifications
공지 수신	Receive Notifications
파견 완료	Exploration Complete
수복 완료	Recovery Complete
연구 완료	Research Complete
구글 연결되지 않음	Not connected with Google
사운드 설정	Sound Settings
계정	Account
계정 설정	Account Settings
연동 계정 선택	Select Linked Account
페이스북 연결되지 않음	Not connected with Facebook
계정을 연결해 게임 데이터를 안전하게 보존하세요	Link your accounts to back up your data
내 UID :	My UID: 
로그아웃	Log Out
문의 / 쿠폰	Contact / Coupon
고객 센터	Service Center
쿠폰 입력	Enter coupon
쿠폰 입력	Redeem coupon
각 버튼을 누르면 팝업이 출력됩니다.	Pressing buttons will display pop-ups
기본 설정 적용	Reset to defaults
쓰고 싶은거 쓰세요.	Write what you want.
끄기	Off
켜기	On
튜토리얼 중엔 사용할 수 없습니다.	Not available during the tutorial.
대기실 확장	Expand Lobby
창고 확장	Expand Warehouse
소지품 창고 확인	Check your inventory
"참치캔이 부족해 구매할 수 없습니다.`n참치캔을 구매하러 가시겠습니까?"	"Not enough Tuna Cans to complete purchase.`nWould you like to go buy some?"
다음 자원이 부족해 진행할 수 없습니다.	Not enough resources to proceed.
상점에서 자원을 구매하시겠습니까?	Would you like to buy resources in the Store?
"[c][FFBA29FF]{0}[-][/c]이(가) 부족해 진행할 수 없습니다.`n[c][FFBA29FF]{1}[-][/c]을(를) 구매하러 가시겠습니까?"	"Not enough [c][FFBA29FF]{0}[-][/c] to proceed.`nWould you like to buy [c][FFBA29FF]{1}[-][/c]?"
[c][FFBA29FF]{0}[-][/c]에게 [c][FFBA29FF]{1}[-][/c] 스킨이 적용되었습니다.	The [c][FFBA29FF]{1}[-][/c] skin has been applied to [c][FFBA29FF]{0}[-][/c]
